probeset_id	array_01.cel	array_02.cel	array_03.cel	array_04.cel	array_05.cel	array_06.cel	array_07.cel	array_08.cel	array_09.cel	array_10.cel	array_11.cel	array_12.cel	array_13.cel	array_14.cel	array_15.cel	array_16.cel	array_17.cel	array_18.cel
AFFX-r2-Bs-thr-3_s_st	0.85114	0.68120	0.78468	0.59333	0.80720	0.71002	0.67065	1.12286	0.92080	0.82460	0.72791	0.93044	0.74636	1.06983	0.71745	0.75690	0.85306	0.73175
AFFX-r2-Ec-c1-bioB-5_at	10.35770	10.42073	10.58882	10.36370	10.45569	10.30810	10.45953	10.58970	10.46444	10.57495	10.31060	10.09382	10.60153	10.56813	10.27903	10.41590	10.24950	10.31271
AFFX-r2-Ec-c1-bioB-M_at	10.90393	10.99636	11.14788	10.84903	11.03661	10.94095	11.09060	11.31314	11.05995	11.22114	10.87971	10.84546	11.21738	11.20107	10.90228	11.03222	10.91555	10.79212
AFFX-r2-Ec-c1-bioB-3_at	10.36256	10.35464	10.56569	10.29447	10.50429	10.32437	10.50296	10.90549	10.56014	10.58737	10.37824	10.23064	10.59579	10.57088	10.37058	10.46484	10.28127	10.22868
AFFX-r2-Ec-c1-bioC-5_at	12.49043	12.43110	12.59638	12.41404	12.51850	12.44374	12.46036	12.73840	12.56264	12.62043	12.46672	12.28134	12.80149	12.81373	12.51083	12.67512	12.48329	12.50828
AFFX-r2-Ec-c1-bioC-3_at	12.26811	12.29537	12.40984	12.23558	12.30767	12.19255	12.30665	12.56156	12.33378	12.46658	12.20283	12.16274	12.59231	12.53100	12.27563	12.44076	12.23490	12.25082
AFFX-r2-Ec-c1-bioD-5_at	13.56365	13.51236	13.65285	13.32407	13.52027	13.42675	13.46019	13.37906	13.57558	13.65812	13.41842	13.20611	13.60172	13.66850	13.54037	13.54946	13.46802	13.51865
AFFX-r2-Ec-c1-bioD-3_at	14.14072	13.90732	13.97726	13.86252	13.97679	13.86730	13.92771	13.95507	14.02675	14.04537	13.90903	13.91844	13.96645	14.02706	13.92683	13.96372	13.79182	13.83996
AFFX-r2-P1-c1-cre-5_at	15.15456	15.08077	15.11484	15.06305	15.08490	15.04268	15.06456	15.17778	15.12151	15.13396	15.03566	15.18668	15.07192	15.08311	15.03682	15.04915	14.99574	15.02216
AFFX-r2-P1-c1-cre-3_at	15.22233	15.14090	15.17698	15.09162	15.17177	15.16090	15.11279	15.18619	15.21372	15.22767	15.17679	15.22397	15.17262	15.24046	15.13511	15.17799	15.10355	15.11230
AFFX-r2-Ec-c2-bioB-5_at	10.23792	10.33880	10.46583	10.16611	10.31683	10.17029	10.36009	10.76098	10.33227	10.46517	10.23121	10.18684	10.37822	10.49851	10.13069	10.30493	10.15925	10.18762
AFFX-r2-Ec-c2-bioB-M_at	10.87956	10.81372	11.03852	10.74616	10.97559	10.76355	10.90622	11.38236	10.91992	11.09510	10.85461	10.85655	10.99386	11.11941	10.73651	10.86056	10.72947	10.70414
AFFX-r2-Ec-c2-bioB-3_at	10.24950	10.12383	10.40001	10.06010	10.29430	10.15743	10.33393	10.59693	10.23237	10.36754	10.19799	10.20286	10.31294	10.51236	10.09908	10.23081	10.15040	10.02512
AFFX-r2-Ec-c2-bioC-5_at	12.48681	12.43208	12.58996	12.39740	12.46434	12.37768	12.47297	12.83672	12.47114	12.64978	12.41059	12.38464	12.79867	12.77587	12.49480	12.65832	12.49807	12.45938
AFFX-r2-Ec-c2-bioC-3_at	12.39885	12.36979	12.56347	12.32312	12.42020	12.33584	12.42960	12.82647	12.43452	12.58801	12.38260	12.42859	12.64543	12.71606	12.34957	12.57065	12.41677	12.28865
AFFX-r2-Ec-c2-bioD-5_at	13.65201	13.52800	13.64913	13.37668	13.58963	13.43266	13.55235	13.71616	13.59428	13.75002	13.47938	13.51130	13.65034	13.76367	13.57541	13.62665	13.54163	13.52987
AFFX-r2-Ec-c2-bioD-3_at	14.14109	14.02889	14.03533	13.89318	14.05257	14.00678	14.07532	14.16407	14.02672	14.14240	14.01705	14.10741	14.05736	14.11210	13.98316	14.01730	13.93648	13.93315
AFFX-r2-P1-c2-cre-5_at	15.17182	15.04834	15.08291	15.00377	15.08226	15.00713	15.04744	15.13004	15.08243	15.12479	15.03979	15.11504	15.04696	15.11259	15.01431	15.02855	14.99433	15.02499
AFFX-r2-P1-c2-cre-3_at	15.22267	15.11603	15.15470	15.04948	15.14368	15.09132	15.10509	15.18710	15.15152	15.16814	15.11127	15.22882	15.12241	15.13206	15.11345	15.09225	15.10654	15.08212
AFFX-r2-Ec-c3-bioB-5_at	10.32008	10.31442	10.53626	10.24421	10.43860	10.24745	10.47478	10.84113	10.31902	10.49890	10.32175	10.29089	10.52970	10.55793	10.23610	10.44799	10.23339	10.18727
AFFX-r2-Ec-c3-bioB-M_at	10.80273	10.84413	11.01885	10.77783	10.92678	10.82049	10.93293	11.33890	10.90036	11.05761	10.81939	10.83756	11.00280	11.06112	10.72130	10.85389	10.77860	10.71645
AFFX-r2-Ec-c3-bioB-3_at	10.41992	10.41196	10.61245	10.21768	10.57534	10.38999	10.54229	10.88167	10.39070	10.59456	10.40882	10.45753	10.57656	10.64807	10.32764	10.55344	10.29864	10.21115
AFFX-r2-Ec-c3-bioC-5_at	12.52916	12.47327	12.67805	12.41855	12.57069	12.41506	12.50757	12.90895	12.52512	12.62977	12.47442	12.44274	12.81176	12.82331	12.53877	12.71019	12.51588	12.55680
AFFX-r2-Ec-c3-bioC-3_at	12.43964	12.40395	12.54004	12.35476	12.45738	12.35257	12.45656	12.82316	12.39828	12.56685	12.36479	12.44122	12.71868	12.70586	12.46380	12.51400	12.44563	12.37672
AFFX-r2-Ec-c3-bioD-5_at	13.81911	13.70365	13.75566	13.60659	13.72327	13.57513	13.71547	13.72116	13.64894	13.74190	13.65145	13.71836	13.78875	13.83686	13.70054	13.76334	13.60879	13.68964
AFFX-r2-Ec-c3-bioD-3_at	14.23251	14.10635	14.12860	13.98822	14.13287	14.04047	14.10265	14.34507	14.07617	14.14793	14.07804	14.11553	14.16579	14.24603	14.08657	14.10579	13.96396	14.01864
AFFX-r2-P1-c3-cre-5_at	15.17453	15.09348	15.08992	15.01814	15.13587	15.04929	15.12646	15.20330	15.05726	15.13616	15.02856	15.15966	15.07854	15.08009	15.05169	15.02663	14.92235	15.04076
AFFX-r2-P1-c3-cre-3_at	15.26500	15.18913	15.20505	15.11318	15.22433	15.17545	15.20607	15.24116	15.16711	15.20387	15.10863	15.22125	15.19058	15.20187	15.16980	15.15797	15.09194	15.15915
AFFX-r2-Ec-c1-bioB-5_st	1.97490	1.16632	0.93801	1.72496	1.43680	1.47317	1.81730	1.31817	1.18273	1.12589	1.90506	0.78119	1.60901	0.86493	1.06669	1.26184	1.04329	1.10135
AFFX-r2-Ec-c1-bioB-M_st	0.94887	1.57234	1.11918	1.04724	0.63504	1.11483	1.53446	1.08169	1.24832	1.08169	0.94979	0.62215	1.67530	1.24750	1.24750	1.08918	0.99171	1.45468
AFFX-r2-Ec-c1-bioB-3_st	2.94586	3.05595	3.21506	3.11699	3.16436	3.21506	3.29493	3.56092	2.95144	3.54834	3.23411	2.98722	3.00590	3.20187	3.17936	3.68618	3.48171	2.97841
AFFX-r2-Ec-c1-bioC-5_st	2.52339	2.59613	3.01339	2.53147	2.85117	2.43955	2.60072	3.29485	2.45119	2.90552	2.72139	2.11855	2.33230	2.55144	2.38434	2.65809	2.25999	2.20570
AFFX-r2-Ec-c1-bioC-3_st	1.19219	1.03829	1.26294	0.64178	0.62165	0.96885	0.66857	1.68048	1.04603	1.21600	0.94592	1.06858	1.31457	1.16832	1.03683	1.69541	1.36001	0.89362
AFFX-r2-Ec-c1-bioD-5_st	4.06575	4.59986	4.44690	4.09670	4.71506	4.19649	4.56399	4.76377	4.31740	4.42753	4.26932	4.26192	4.71482	4.28540	4.56735	4.37740	4.14248	4.40143
AFFX-r2-Ec-c1-bioD-3_st	4.92900	5.13709	5.09621	5.14084	4.99307	4.97364	5.21952	5.64706	5.13059	5.14982	5.12555	4.83388	5.46864	5.30845	5.07691	5.31909	5.04315	4.97815
AFFX-r2-P1-c1-cre-5_st	5.75378	5.77478	5.90426	5.42986	5.62310	5.50365	5.44986	6.22326	5.81831	6.04205	5.62911	5.53058	5.42986	5.68003	5.54829	5.56913	5.62815	5.77694
AFFX-r2-P1-c1-cre-3_st	5.01775	4.91400	5.34694	4.92028	5.18862	5.04759	5.11572	5.71061	5.11247	5.16501	5.02682	5.42170	5.12499	5.23987	4.79391	5.12527	4.92028	4.76866
AFFX-r2-Ec-c2-bioB-5_st	1.85086	1.64583	1.98234	1.92589	1.59301	1.89714	2.36967	1.91572	1.82289	2.47799	2.02663	1.67828	2.51285	2.96884	1.69054	2.16628	2.41173	1.91741
AFFX-r2-Ec-c2-bioB-M_st	1.62161	1.91930	1.82969	1.76874	1.74135	1.16034	1.44846	1.41235	1.96113	2.17662	1.59497	1.91246	1.57216	1.44556	1.56242	1.32996	1.58716	1.46069
AFFX-r2-Ec-c2-bioB-3_st	2.94354	3.11572	3.63567	3.07995	3.51931	3.61178	3.21185	3.19131	2.75535	3.38003	3.13829	3.34331	3.09291	3.14609	3.06223	2.99782	3.20766	2.96865
AFFX-r2-Ec-c2-bioC-5_st	1.63516	1.54506	1.76509	1.55994	1.52720	1.77147	1.75600	1.94779	1.67613	1.46846	1.34776	1.32121	1.93567	1.91567	1.67039	1.22908	0.92648	1.29573
AFFX-r2-Ec-c2-bioC-3_st	1.18298	1.15017	0.84960	0.51452	0.44888	1.15017	0.75025	0.69063	0.28076	1.69808	0.65783	0.68122	0.67279	0.39491	0.76795	0.68699	0.51665	0.99088
AFFX-r2-Ec-c2-bioD-5_st	3.97928	3.83804	4.21839	3.62197	4.09801	3.96537	4.34520	4.31137	4.01882	4.38852	3.57583	3.98474	3.73731	4.30378	3.97190	3.64635	3.56161	3.82002
AFFX-r2-Ec-c2-bioD-3_st	4.44040	4.37950	4.73189	4.49695	4.49554	4.49695	4.58135	5.13952	4.66421	4.66793	4.64962	4.51225	4.70382	4.65962	4.56125	4.49716	4.35356	4.35239
AFFX-r2-P1-c2-cre-5_st	5.68718	5.68086	5.83665	5.67766	6.02944	5.59102	5.70006	5.98597	5.92736	6.01540	5.58631	5.71880	5.95849	5.79344	5.82985	5.83961	5.99984	5.78363
AFFX-r2-P1-c2-cre-3_st	4.96221	4.86712	5.24392	4.91715	5.08928	5.06839	4.87136	5.10854	5.05483	5.33735	5.13668	5.16381	5.15741	5.45491	4.79346	4.70165	4.83276	4.95787
AFFX-r2-Ec-c3-bioB-5_st	0.96186	1.39549	1.19705	0.82987	1.24273	1.08033	1.12903	1.05190	0.96365	1.01353	0.96095	1.42744	1.31518	0.80156	1.08033	0.99085	0.90903	1.46336
AFFX-r2-Ec-c3-bioB-M_st	1.80990	1.12241	1.35950	1.39074	1.29238	1.54422	1.52953	2.03968	1.62371	1.09401	1.32000	0.93294	1.31137	1.56819	1.39937	1.62371	0.94441	0.96445
AFFX-r2-Ec-c3-bioB-3_st	3.14246	3.82795	3.42651	2.94786	2.83074	3.27039	3.38171	3.73997	3.15828	3.09401	2.84834	3.00975	3.26805	3.24060	2.80871	3.61536	3.20608	2.81290
AFFX-r2-Ec-c3-bioC-5_st	3.37115	3.18005	3.62794	3.28790	2.95374	2.92890	3.55604	3.83323	3.22196	3.31798	3.27144	2.95516	3.52236	3.14539	3.03739	3.17659	3.07104	3.07041
AFFX-r2-Ec-c3-bioC-3_st	1.10192	1.00236	1.08792	0.80001	1.43680	1.15017	0.96959	1.24624	1.10858	1.10654	1.08998	1.39250	1.21309	1.78066	1.21976	0.89556	1.16382	1.13641
AFFX-r2-Ec-c3-bioD-5_st	3.89000	3.93541	4.26722	3.93037	4.18159	4.03491	4.10684	4.44293	3.94801	4.13876	3.68724	3.78786	3.89526	4.19135	3.75615	3.77439	3.42223	3.87872
AFFX-r2-Ec-c3-bioD-3_st	4.92603	4.79145	5.04314	4.74321	4.95164	4.80496	5.04023	5.39085	4.82659	4.97122	4.80876	4.54239	4.99474	4.93052	4.81498	4.89790	4.34561	4.61550
AFFX-r2-P1-c3-cre-5_st	5.92118	6.03003	6.05072	5.98574	6.13473	6.02911	5.88135	6.50883	6.11987	6.25242	6.08187	6.17507	5.78778	6.11611	6.02537	6.16675	5.42038	5.86305
AFFX-r2-P1-c3-cre-3_st	5.00438	4.98754	5.35715	5.01306	5.41419	5.05421	5.21510	5.84643	5.09119	5.19592	4.94727	4.79093	5.23299	5.21095	5.13081	4.69933	4.73872	5.14686
AFFX-BkGr-GC03_st	0.49084	0.69587	0.66884	0.65826	0.65905	0.56906	0.92124	0.87410	0.84231	0.81669	0.60777	0.68919	0.92248	0.74663	0.78882	0.62837	0.68465	0.56339
AFFX-BkGr-GC04_st	0.65846	0.71892	0.62028	0.58629	0.64029	0.76567	0.72843	0.88996	0.75779	0.67052	0.62024	0.64472	0.67977	0.58764	0.56479	0.63843	0.66142	0.63356
AFFX-BkGr-GC05_st	0.52136	0.68985	0.69469	0.62591	0.61841	0.66544	0.82741	0.78347	0.73114	0.62452	0.63787	0.67468	0.68346	0.71794	0.73984	0.62127	0.61488	0.68357
AFFX-BkGr-GC06_st	0.57615	0.79371	0.79239	0.62624	0.72178	0.59896	0.76259	0.74855	0.69000	0.67427	0.77379	0.67384	0.65994	0.61253	0.62850	0.60445	0.71781	0.67038
AFFX-BkGr-GC07_st	0.66498	0.86737	0.65528	0.69325	0.69069	0.54768	0.69538	0.83552	0.98522	0.56876	0.74938	0.46132	0.65507	0.56500	0.84017	0.64411	0.73957	0.67867
AFFX-BkGr-GC08_st	0.53824	0.65086	0.62910	0.63706	0.67308	0.55662	0.77182	0.80821	0.61925	0.60865	0.80838	0.47181	0.66475	0.76348	0.58004	0.67372	0.66680	0.65789
AFFX-BkGr-GC09_st	0.59089	0.86306	0.66787	0.83684	0.72509	0.68041	0.57864	0.74925	0.62859	0.87496	0.69535	0.72643	0.60479	0.75683	0.62556	0.66563	0.57422	0.63775
AFFX-BkGr-GC10_st	0.55988	0.57996	0.59368	0.67305	0.51331	0.66549	0.59187	0.67638	0.61864	0.53187	0.67125	0.60435	0.58658	0.56766	0.57004	0.54437	0.59885	0.44368
AFFX-BkGr-GC11_st	0.67062	0.66471	0.63879	0.76619	0.59144	0.64209	0.71046	0.65540	0.69041	0.66335	0.69414	0.65051	0.73839	0.65929	0.79700	0.66177	0.63758	0.66232
AFFX-BkGr-GC12_st	0.63831	0.67590	0.71604	0.77586	0.78203	0.75572	0.63920	0.77367	0.74322	0.64620	0.72809	0.66505	0.66864	0.73679	0.60386	0.58403	0.71829	0.77842
AFFX-BkGr-GC13_st	0.62752	0.63897	0.59930	0.60265	0.61029	0.56153	0.61944	0.65462	0.75696	0.56704	0.63601	0.59087	0.63852	0.63419	0.82848	0.67081	0.68279	0.62612
AFFX-BkGr-GC14_st	0.67216	0.67466	0.51555	0.69208	0.67802	0.68195	0.69481	0.77633	0.68576	0.70600	0.65513	0.68305	0.71673	0.73086	0.73017	0.62460	0.73648	0.69520
AFFX-BkGr-GC15_st	0.75942	0.78162	0.77324	0.77994	0.68796	0.74012	0.71213	0.65454	0.62489	0.83527	0.74124	0.65166	0.54417	0.63988	0.70184	0.64908	0.66907	0.79785
AFFX-BkGr-GC16_st	0.68432	0.76194	0.68888	0.72894	0.85916	0.75751	0.78905	0.82259	0.83584	0.74448	0.82195	0.81380	0.84525	0.85114	0.83895	0.74814	1.00186	0.79788
AFFX-BkGr-GC17_st	0.77210	0.73901	0.89465	0.78115	0.62780	0.73468	0.77580	0.87674	0.73085	0.77432	0.79420	0.75168	0.84415	1.11524	0.83351	0.65992	0.86035	0.90917
AFFX-BkGr-GC18_st	0.83886	0.81355	0.93384	0.96302	0.94429	0.82977	0.82067	1.08404	0.85769	0.76737	0.86424	0.79666	1.06210	1.40935	1.30693	1.30807	1.33024	1.47954
AFFX-BkGr-GC19_st	1.07365	1.11508	1.29118	1.15412	1.17944	1.03348	1.07990	1.42000	0.93375	1.14490	1.13022	1.23575	1.74591	1.50457	1.64748	1.77999	1.59988	1.81300
AFFX-BkGr-GC20_st	1.20945	1.13372	1.26134	1.27533	1.26346	1.09757	1.14907	1.35602	1.05978	1.07799	1.24255	1.32195	1.94358	1.90873	1.91315	1.84892	1.91354	1.87829
AFFX-BkGr-GC21_st	1.17365	1.27679	1.18936	1.19728	1.28057	1.29340	1.10131	1.36894	1.18705	0.99043	1.22304	1.57039	2.28915	2.18536	2.30956	2.17323	2.14622	2.20462
AFFX-BkGr-GC22_st	1.48926	1.70529	1.34394	1.56395	1.47153	1.64890	1.49490	1.62785	1.23516	1.14266	1.30344	1.74866	2.53942	2.86055	2.83773	2.72362	2.73532	2.62458
AFFX-BkGr-GC23_st	1.72584	1.87217	1.75829	1.67870	1.86208	1.64926	1.53112	1.80723	1.39716	1.32514	1.88709	1.86546	3.12817	3.07414	3.10305	3.10345	3.13860	2.96233
AFFX-BkGr-GC24_st	1.82153	1.83553	1.84977	1.89507	1.72789	1.77546	2.01133	2.11597	1.64296	1.52227	2.02851	1.97567	3.23284	3.44590	3.30124	3.39566	3.42678	3.15799
AFFX-BkGr-GC25_st	2.87570	2.78740	2.57376	3.03940	2.72410	2.92482	2.74906	2.85466	2.05535	2.19154	2.66071	3.24496	4.46871	4.43812	3.96899	4.56560	3.99932	4.04240
AFFX-BkGr23-GC9_st	0.52861	0.67489	0.62922	0.60417	0.57229	0.56712	0.68398	0.69619	0.68694	0.59071	0.69628	0.57263	0.61440	0.64589	0.66259	0.52145	0.65410	0.52819
AFFX-BkGr23-GC8_st	0.61516	0.67176	0.58650	0.57278	0.58867	0.54649	0.64431	0.60048	0.68628	0.62133	0.67067	0.66465	0.57010	0.64866	0.61390	0.55212	0.59114	0.61226
AFFX-BkGr23-GC7_st	0.48055	0.70089	0.62805	0.64336	0.58050	0.54076	0.66609	0.59055	0.63677	0.63440	0.72615	0.64547	0.57800	0.82100	0.71337	0.69715	0.80018	0.55628
AFFX-BkGr23-GC6_st	0.59450	0.64864	0.63063	0.64532	0.65907	0.63500	0.66033	0.61394	0.77232	0.59648	0.70666	0.59523	0.53879	0.61910	0.56424	0.58360	0.59020	0.67493
